Año,Mes,Solicitudes de licencias recibidas allegadas por primera vez,Solicitudes Negadas,Solicitudes Archivadas,Licencias expedidas de semillas para siembra,Licencias expedidas de plantas cannabis psicoactivo,Licencias expedidas de plantas cannabis no psicoactivo,Cantidad total de Licencias Otorgadas (por primera vez),Solicitudes de modificaciones a licencias allegadas,Modificaciones negadas,Modificaciones archivadas,Modificaciones a licencias de plantas de cannabis psicoactivo otorgadas,Modificaciones a licencias de semillas para siembra otorgadas,modificaciones a licencias de plantas de cannabis no psicoactivo otorgadas,solicitudes de modificación a licencias expedidas
2017,FEBRERO,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,MARZO,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,ABRIL,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,MAYO,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,JUNIO,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,JULIO,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,AGOSTO,19,0,0,0,0,0,0,19,0,0,0,0,0,0
2017,SEPTIEMBRE,5,0,0,0,0,4,4,5,0,0,0,0,0,0
2017,OCTUBRE,13,0,0,1,5,4,10,13,0,0,0,0,0,0
2017,NOVIEMBRE,19,0,1,0,4,0,4,19,0,0,0,0,0,0
2017,DICIEMBRE,12,2,0,1,4,4,9,12,0,0,0,0,0,0
2018,ENERO,19,0,0,1,3,5,9,19,0,0,0,0,0,0
2018,FEBRERO,19,2,0,1,8,7,16,19,0,0,0,0,0,1
2018,MARZO,43,1,3,2,1,9,12,43,0,0,0,0,0,4
2018,ABRIL,43,0,0,0,6,10,16,43,0,0,0,0,0,4
2018,MAYO,30,1,3,0,3,4,7,30,0,0,0,0,0,9
2018,JUNIO,37,0,0,2,8,9,19,37,0,0,1,1,3,7
2018,JULIO,38,2,2,3,5,6,14,38,0,0,3,0,1,4
2018,AGOSTO,63,3,1,6,8,19,33,63,0,0,1,0,1,9
2018,SEPTIEMBRE,75,0,0,1,2,2,5,75,0,0,0,0,0,4
2018,OCTUBRE,78,0,0,0,2,3,5,78,0,0,0,0,0,5
2018,NOVIEMBRE,77,5,8,2,6,5,13,77,0,0,1,0,1,9
2018,DICIEMBRE,419,1,1,0,5,5,10,419,0,0,3,1,3,9
2019,ENERO,46,0,0,0,0,4,4,46,0,0,0,0,0,10
2019,FEBRERO,55,0,0,4,2,7,13,55,0,0,1,0,0,10
2019,MARZO,129,0,1,1,6,9,16,129,0,0,0,0,1,8
2019,ABRIL,99,0,8,0,3,4,7,99,0,0,1,0,0,18
2019,MAYO,115,0,3,2,1,6,9,115,0,0,0,0,3,7
2019,JUNIO,114,0,12,0,3,4,7,114,0,0,2,0,1,9
2019,JULIO,128,0,3,5,3,10,18,128,0,0,0,0,1,5
2019,AGOSTO,101,0,27,16,9,47,72,101,0,0,1,0,1,6
2019,SEPTIEMBRE,131,0,55,0,0,0,0,131,0,0,0,0,0,8
2019,OCTUBRE,143,3,24,28,25,96,149,143,0,0,5,0,5,18
2019,NOVIEMBRE,106,4,4,10,16,46,72,106,0,0,3,0,3,6
2019,DICIEMBRE,164,9,18,9,16,35,60,164,0,0,10,3,11,39
2020,ENERO,38,0,0,0,0,1,1,38,0,0,1,0,1,15
2020,FEBRERO,29,0,21,1,5,7,13,29,0,0,10,2,20,12
2020,MARZO,22,0,5,3,8,17,28,22,0,0,5,0,5,18
2020,ABRIL,4,2,24,3,3,12,18,4,0,0,2,1,4,11
2020,MAYO,6,7,28,17,15,53,85,6,2,0,4,0,7,5
2020,JUNIO,20,0,17,17,47,59,123,20,0,0,4,1,3,19
2020,JULIO,32,2,28,21,45,56,122,32,0,0,5,1,11,22
2020,AGOSTO,3,5,10,14,29,59,102,3,0,0,2,1,5,3
2020,SEPTIEMBRE,10,6,38,11,34,41,86,10,0,0,3,0,6,15
2020,OCTUBRE,16,4,19,21,58,79,158,16,0,0,10,1,11,17
2020,NOVIEMBRE,26,0,11,10,51,53,114,26,0,0,1,1,8,4
2020,DICIEMBRE,35,2,8,8,26,44,78,35,0,0,0,0,3,8
2021,FEBRERO,13,0,0,0,1,1,2,13,0,0,0,0,1,14
2021,MARZO,23,1,1,2,12,7,21,23,0,0,0,0,0,12
2021,ABRIL,21,0,3,4,19,21,44,21,0,0,1,1,4,14
2021,MAYO,16,3,6,3,32,37,72,16,0,0,2,1,5,9
2021,JUNIO,16,4,7,4,24,31,59,16,1,0,9,0,6,14
2021,JULIO,14,7,6,4,21,19,44,14,0,0,6,2,8,21
2021,AGOSTO,12,11,6,3,43,35,81,12,0,0,11,6,16,24
2021,SEPTIEMBRE,15,3,4,0,21,14,35,15,1,0,1,2,5,29
2021,OCTUBRE,11,0,0,5,29,34,68,11,0,0,4,0,10,25
2021,NOVIEMBRE,11,7,3,11,66,67,144,11,0,0,12,4,12,18
2021,DICIEMBRE,25,2,2,7,42,45,94,25,3,0,14,4,23,65
2022,ENERO,0,3,0,1,5,1,7,0,5,0,0,0,1,8
2022,FEBRERO,4,0,2,3,17,36,56,4,0,0,16,4,18,29
2022,MARZO,6,1,1,2,12,17,31,6,3,0,37,11,49,41
2022,ABRIL,8,3,0,2,13,10,25,8,0,1,14,3,22,38
2022,MAYO,3,4,4,3,16,24,43,3,5,2,22,2,31,42
2022,JUNIO,8,0,2,1,2,4,7,8,2,0,16,2,23,32
2022,JULIO,9,0,0,0,2,1,3,9,1,0,15,0,13,44
2022,AGOSTO,11,0,0,0,1,9,10,11,0,1,22,1,25,53
2022,SEPTIEMBRE,0,0,0,0,0,0,0,0,0,1,18,2,21,23
2022,OCTUBRE,4,0,0,3,5,10,18,4,0,0,13,1,14,29
2022,NOVIEMBRE,5,0,0,0,2,2,4,5,0,1,13,0,15,41
2022,DICIEMBRE,15,0,0,0,2,4,6,15,0,0,10,1,17,18
2023,ENERO,4,0,0,0,0,0,0,4,0,0,1,0,1,16
2023,FEBRERO,4,0,0,0,0,0,0,4,0,0,11,1,12,24
2023,MARZO,6,0,0,0,1,1,2,6,2,0,7,1,5,22
2023,ABRIL,3,0,0,0,3,1,4,3,0,0,8,1,10,15
2023,MAYO,2,0,0,1,1,3,5,2,1,2,15,1,17,21
2023,JUNIO,5,0,0,0,7,10,17,5,3,0,7,2,13,26
2023,JULIO,9,0,0,0,1,1,2,9,2,1,7,3,11,26
2023,AGOSTO,6,0,0,0,2,3,5,6,1,2,9,4,10,12
2023,SEPTIEMBRE,0,0,1,0,2,3,5,0,2,1,13,1,18,9
2023,OCTUBRE,0,0,1,0,4,4,8,0,1,0,5,0,6,2
2023,NOVIEMBRE,2,0,0,0,1,3,4,2,1,1,2,0,2,23
2023,DICIEMBRE,7,0,0,0,3,2,5,7,1,1,7,0,11,10
2024,ENERO,0,0,0,0,0,0,0,0,0,0,1,0,0,6
2024,FEBRERO,2,0,0,0,0,0,0,2,0,1,3,0,1,7
2024,MARZO,1,0,0,0,0,0,0,1,0,0,1,2,4,9
2024,ABRIL,1,0,1,0,0,1,1,1,2,0,5,1,3,13
2024,MAYO,2,0,2,0,4,3,7,2,0,0,6,0,3,7
2024,JUNIO,0,0,0,1,2,3,6,0,1,0,2,1,7,8
2024,JULIO,1,0,0,0,0,2,2,1,5,1,5,2,7,3
2024,AGOSTO,2,0,0,0,1,1,2,2,0,0,3,0,3,7
